Cell	Cell_Type	Gender
F10.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
L17.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
C10.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
K4.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A9.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
G11.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
K13.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A11.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A13.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
M19.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
C19.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
I22.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
L9.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
A22.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
P19.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
P20.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
O18.MAA000398.3_9_M.1.1	smooth_muscle_cell	M
K21.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
N22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
N1.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
G1.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
I21.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
P22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
I22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
O14.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
E16.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
K11.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
L20.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
L21.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
O22.MAA000399.3_9_M.1.1	smooth_muscle_cell	M
B6.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
P6.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
E5.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
L3.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
P13.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
F3.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
P21.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
J17.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
F22.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
A7.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
N13.MAA000400.3_8_M.1.1	smooth_muscle_cell	M
D8.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
G21.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
M13.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
D9.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
D11.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
K21.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
F9.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
C1.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
F16.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
I8.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
D2.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
I16.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
N8.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
O17.MAA000452.3_8_M.1.1	smooth_muscle_cell	M
P15.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
F18.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
H10.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
M21.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
D22.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
O21.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
L20.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
G19.MAA000586.3_8_M.1.1	smooth_muscle_cell	M
N6.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
C4.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
C5.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
E22.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
A2.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
I20.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
F3.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
F14.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
J13.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
M8.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
G20.MAA000587.3_8_M.1.1	smooth_muscle_cell	M
I14.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
B21.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
F10.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
P17.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
M16.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
G13.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
G14.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
G15.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
E4.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
B8.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
H20.MAA000589.3_9_M.1.1	smooth_muscle_cell	M
M16.MAA000899.3_10_M.1.1	smooth_muscle_cell	M
F21.MAA000901.3_10_M.1.1	smooth_muscle_cell	M
D6.MAA000901.3_10_M.1.1	smooth_muscle_cell	M
J14.MAA000901.3_10_M.1.1	smooth_muscle_cell	M
D22.MAA000901.3_10_M.1.1	smooth_muscle_cell	M
C2.MAA000901.3_10_M.1.1	smooth_muscle_cell	M
H2.MAA000901.3_10_M.1.1	smooth_muscle_cell	M
A13.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
B18.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
C3.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
P1.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
H14.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
J17.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
L18.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
P6.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
P10.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
D11.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
I13.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
I20.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
E9.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
C16.MAA000903.3_11_M.1.1	smooth_muscle_cell	M
G2.MAA000917.3_11_M.1.1	smooth_muscle_cell	M
O4.MAA000917.3_11_M.1.1	smooth_muscle_cell	M
N18.MAA000917.3_11_M.1.1	smooth_muscle_cell	M
A6.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
L13.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
L16.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
M15.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
B22.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
P17.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
D13.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
K22.MAA000918.3_10_M.1.1	smooth_muscle_cell	M
O3.MAA000919.3_10_M.1.1	smooth_muscle_cell	M
O6.MAA000919.3_10_M.1.1	smooth_muscle_cell	M
O8.MAA000919.3_10_M.1.1	smooth_muscle_cell	M
P12.MAA000919.3_10_M.1.1	smooth_muscle_cell	M
F15.MAA000919.3_10_M.1.1	smooth_muscle_cell	M
N21.MAA000919.3_10_M.1.1	smooth_muscle_cell	M
D20.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
O20.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
N8.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
E1.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
B11.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
O7.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
M15.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
N3.MAA000920.3_11_M.1.1	smooth_muscle_cell	M
L13.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
F14.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
A16.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
J14.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
J13.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
M10.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
G21.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
G22.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
M20.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
B15.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
N11.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
I7.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
L6.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
F3.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
I16.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
O2.MAA000936.3_9_M.1.1	smooth_muscle_cell	M
H20.B000633.3_56_F.1.1	smooth_muscle_cell	F
P19.B000633.3_56_F.1.1	smooth_muscle_cell	F
G18.B000633.3_56_F.1.1	smooth_muscle_cell	F
F13.B000633.3_56_F.1.1	smooth_muscle_cell	F
I16.B000633.3_56_F.1.1	smooth_muscle_cell	F
F17.B000633.3_56_F.1.1	smooth_muscle_cell	F
N22.B000633.3_56_F.1.1	smooth_muscle_cell	F
F20.B000633.3_56_F.1.1	smooth_muscle_cell	F
N2.B000633.3_56_F.1.1	smooth_muscle_cell	F
P18.B000633.3_56_F.1.1	smooth_muscle_cell	F
A9.B000634.3_56_F.1.1	smooth_muscle_cell	F
E20.B000634.3_56_F.1.1	smooth_muscle_cell	F
J18.B000634.3_56_F.1.1	smooth_muscle_cell	F
N17.B000634.3_56_F.1.1	smooth_muscle_cell	F
D6.B000636.3_56_F.1.1	smooth_muscle_cell	F
K11.B000636.3_56_F.1.1	smooth_muscle_cell	F
G5.B002010.3_39_F.1.1	smooth_muscle_cell	F
C21.B002010.3_39_F.1.1	smooth_muscle_cell	F
B21.B002010.3_39_F.1.1	smooth_muscle_cell	F
C1.B002010.3_39_F.1.1	smooth_muscle_cell	F
F11.B002010.3_39_F.1.1	smooth_muscle_cell	F
D22.B002011.3_38_F.1.1	smooth_muscle_cell	F
B16.B002011.3_38_F.1.1	smooth_muscle_cell	F
B11.B002421.3_39_F.1.1	smooth_muscle_cell	F
E8.B002421.3_39_F.1.1	smooth_muscle_cell	F
B16.B002421.3_39_F.1.1	smooth_muscle_cell	F
B17.B002421.3_39_F.1.1	smooth_muscle_cell	F
H5.B002421.3_39_F.1.1	smooth_muscle_cell	F
L18.B002421.3_39_F.1.1	smooth_muscle_cell	F
M10.B002421.3_39_F.1.1	smooth_muscle_cell	F
M15.B002421.3_39_F.1.1	smooth_muscle_cell	F
M22.B002421.3_39_F.1.1	smooth_muscle_cell	F
A15.B002423.3_39_F.1.1	smooth_muscle_cell	F
E11.B002423.3_39_F.1.1	smooth_muscle_cell	F
F15.B002423.3_39_F.1.1	smooth_muscle_cell	F
C5.B002423.3_39_F.1.1	smooth_muscle_cell	F
I12.B002423.3_39_F.1.1	smooth_muscle_cell	F
E22.B002423.3_39_F.1.1	smooth_muscle_cell	F
H8.B002423.3_39_F.1.1	smooth_muscle_cell	F
F8.B002423.3_39_F.1.1	smooth_muscle_cell	F
N18.B002423.3_39_F.1.1	smooth_muscle_cell	F
L13.B002427.3_39_F.1.1	smooth_muscle_cell	F
F8.B002427.3_39_F.1.1	smooth_muscle_cell	F
K20.B002427.3_39_F.1.1	smooth_muscle_cell	F
A1.B002427.3_39_F.1.1	smooth_muscle_cell	F
M2.B002427.3_39_F.1.1	smooth_muscle_cell	F
K1.B002427.3_39_F.1.1	smooth_muscle_cell	F
B9.B002427.3_39_F.1.1	smooth_muscle_cell	F
L6.B002427.3_39_F.1.1	smooth_muscle_cell	F
G22.B002427.3_39_F.1.1	smooth_muscle_cell	F
K14.B002428.3_38_F.1.1	smooth_muscle_cell	F
B1.B002428.3_38_F.1.1	smooth_muscle_cell	F
D22.B002428.3_38_F.1.1	smooth_muscle_cell	F
G8.B002428.3_38_F.1.1	smooth_muscle_cell	F
E5.B002428.3_38_F.1.1	smooth_muscle_cell	F
O20.B002428.3_38_F.1.1	smooth_muscle_cell	F
O2.B002429.3_38_F.1.1	smooth_muscle_cell	F
D15.B002429.3_38_F.1.1	smooth_muscle_cell	F
P18.B002429.3_38_F.1.1	smooth_muscle_cell	F
A19.B002429.3_38_F.1.1	smooth_muscle_cell	F
O14.B002429.3_38_F.1.1	smooth_muscle_cell	F
F22.B002429.3_38_F.1.1	smooth_muscle_cell	F
B6.B002429.3_38_F.1.1	smooth_muscle_cell	F
D9.B000412.3_56_F.1.1	smooth_muscle_cell	F
P7.B000412.3_56_F.1.1	smooth_muscle_cell	F
I10.B000412.3_56_F.1.1	smooth_muscle_cell	F
G14.B000412.3_56_F.1.1	smooth_muscle_cell	F
D5.B000412.3_56_F.1.1	smooth_muscle_cell	F
L6.B000412.3_56_F.1.1	smooth_muscle_cell	F
B2.MAA100037.3_10_M.1.1	smooth_muscle_cell	M
